Name,"""Location""","""Popular Major""","""SAT Score""","""GPA""","""Percent Admitted"""
Stony Brook University,"Stony Brook, NY",Health Professions,1330,3.75+,42
Brown University,"Providence, RI",Social Sciences,1485,3.75+,8
University of Southern California,"Los Angeles, CA",Business,1440,3.75+,13
New York University,"New York, NY",Visual and Performing Arts,1410,3.6,20
Tufts University,"Medford, MA",Social Sciences,1455,3.75+,15
City College of New York,"New York, NY",Engineering,1070,3.3,38
Rochester Institute of Technology,"Rochester, NY",Engineering,1330,3.6,66
Rensselaer Polytechnic Institute,"Rensselaer, NY",Engineering,1415,3.75+,43
Cornell University,"Ithaca, NY",Engineering,1465,3.75+,11
Northeastern University,"Boston, MA",Business,1450,3.75+,19
